ANIO,count,mean,std,min,25%,50%,75%,max
1989,32.0,307.8020185760217,253.0452042166209,94.6401149576401,171.193536269679,215.8968574939505,310.62369281725825,1325.07897959931
1990,32.0,380.6477787948774,237.5276466189939,157.346164631691,225.292742741658,299.855777329722,439.73880240274127,1073.0390091314698
1991,32.0,476.2811512015002,271.93405204529864,202.060763200726,301.551134590419,386.3397398148115,509.04609490991425,1267.34960012694
1992,32.0,651.8017236651119,407.7337752201684,276.958314852137,407.7472044482737,505.964892964499,742.7564208030118,2081.46633944636
1993,32.0,862.4009380854507,489.89519344678905,318.84540378060103,499.0692512258355,736.3693661637875,1083.815817774005,2166.02230452479
1994,32.0,1100.9925440215623,499.1876314736378,456.37908232999496,709.144146129383,1005.6673790450949,1325.0424197891675,2301.41029348773
1995,32.0,1300.2531233128161,528.8608993380878,569.545050739448,924.6340716862208,1182.882697957385,1535.7087912107522,2577.1273967540196
1996,32.0,1789.1498435048497,687.62314643787,859.768332507614,1333.4494273094901,1643.42930001594,2036.38215115923,3473.84011869138
1997,32.0,2419.979775847042,916.0239494900508,1183.7727942341198,1837.7542696309097,2093.5180302726553,2749.1374739558173,4687.7149150550895
1998,32.0,3375.0294864056586,1139.6394726929811,1508.6785546265198,2614.04125629308,3085.016338118475,3945.8323849135872,6044.80814418152
1999,32.0,4152.151283652575,1318.1829177030397,1711.87452896772,3341.8659783359976,3905.6724011897104,4723.402858420661,7580.1950843839095
2000,32.0,4989.350284641496,1468.377391885851,2181.2256529631304,4099.434613785389,4730.281246951735,5496.453251022755,8805.332698218741
2001,32.0,5582.650202084973,1238.2721056618534,3576.6989199665504,4790.995819814665,5361.5108108001405,5919.977927169617,9385.570616505831
2002,32.0,5906.178376359123,1301.7399855085368,3844.17447780855,4966.998064168644,5734.846128500965,6297.555469301417,9546.77096348622
2003,32.0,6610.571571219957,1412.9212513267616,4374.77997521608,5744.46335004676,6439.83630231101,6881.293609328987,10991.2252583272
2004,32.0,7191.3778369576585,1599.2174105809922,4787.21418248325,6226.506924943792,6998.780389942134,7551.752196507754,11735.632667585
2005,32.0,8048.969417264677,1905.403347015113,5676.35032322451,7051.25924226845,7598.15877282514,8331.968053469856,14104.6792281689
2006,32.0,9071.695792490127,2034.7172261221913,6101.20526606021,8068.745597232294,8533.10858344193,9466.569176975463,15225.9085295064
2007,32.0,9776.975452619025,2023.3422314852833,6074.41448079806,8495.362663361946,9367.73576118139,10736.36603002745,15947.590057225902
2008,32.0,11459.453464974338,2543.595539517096,8447.56890537187,9798.709401940569,10712.0926083288,12565.981408127802,20565.2187608835
2009,32.0,11842.97466819325,2206.058057347371,8376.004324442141,10071.848049455926,11201.929361740751,13660.607013987576,16433.2622359604
2010,32.0,11855.992263906854,1945.9160172733123,8548.69414323345,10676.323194002725,11263.40761352185,13342.303012265125,17483.4547402184
2011,32.0,12801.829830381062,2155.420859358625,9659.05653489432,11424.18233431955,12424.67560130075,13862.932705089599,19070.6094476449
2012,32.0,13723.697062337675,2399.161891509204,9957.63956624865,12166.616531994501,13440.239896377749,14995.504129353549,21025.6843976885
2013,32.0,14693.0443385202,2361.000283063153,10945.2227730437,13065.611096601273,14663.5401366373,15802.575570682126,22208.035887794398
2014,32.0,15820.021650742923,2564.1611799323396,11297.7954241101,13736.345053296474,15702.70652453965,17136.86703008035,23319.577710711
2015,32.0,16624.882821786785,2985.818563773371,11492.2174402701,14777.421480834102,16118.7320943772,18274.475186516775,26324.475019476802
2016,32.0,17238.392778158486,2966.6109670576384,12665.2883407976,15581.066076090076,16756.0501422224,18349.35831262265,24119.342794646498
2017,32.0,17685.30315342278,2751.4644738275238,13911.573601021799,15813.608563769601,17210.095268889447,18754.997974423903,24416.185396604502
2018,32.0,18715.217451700424,3127.506379180469,14129.562060226599,16476.55803546185,17969.6628822631,20165.268611576277,26790.9717729357
2019,15.0,18498.908939253,2824.1120515942866,14433.1267746297,17113.737717028853,17678.8313886208,19693.17725303185,23875.9248885281
